location,rooms,total_listings,latitude,longitude
Ablon sur seine (94480),53 chambres,2,48.7236595,2.4209566
Acheres (78260),3 chambres,1,48.9676599,2.0656028
Adainville (78113),"4 chambres,1 salle de bain",1,48.7294048,1.6607875
Alfortville (94140),"32 chambres,Type  cuisine : Cuisine séparée équipée3 chambres2 chambres1 chambre3 chambres1 chambre1 chambre",10,48.7968314,2.4241141
Andilly (95580),1 chambre,1,49.0098323,2.3038114
Andrésy (78570),"2 chambres,1 salle d'eau",1,48.9779045,2.0436237
Angerville (91670),3 chambres4 chambres,2,48.3117864,1.9986743
Antony (92160),"7442 chambres,Type  cuisine : Cuisine américaine,1 salle de bain3 chambres3 chambres3 chambres1 chambre2 chambres2 chambres,1 salle de bain6 chambres",12,48.750728,2.2987872
Arcueil (94110),3 chambres,1,48.8051596,2.3350392
Argenteuil (95100),"742 chambres,2 salles de bain5 chambres3 chambres3 chambres3 chambres2 chambres3 chambres5 chambres3 chambres,1 salle de bain2 chambres,1 salle de bain2 chambres",13,48.950131,2.2445364
Arnouville (95400),2 chambres,1,48.9994801,2.4024075
Arnouville les gonesse (95400),1 salle d'eau,1,48.9994801,2.4024075
Arpajon (91290),"41 chambre3 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 salle d'eau2 chambres,Type  cuisine : Cuisine indépendante,1 salle d'eau,Cheminée2 chambres",5,48.588163,2.2536672
Arronville (95810),"3 chambres,1 salle d'eau",1,49.1555613,2.0926485
Asnieres sur seine (92600),2 chambres1 chambre3 chambres1 chambre1 chambre,5,48.9180241,2.2854758
Asnieres-sur-seine (92600),1 chambre,1,48.9180241,2.2854758
Asnières-sur-seine (92600),3 chambres2 chambres3 chambres1 salle de bain,5,48.9180241,2.2854758
Athis mons (91200),"42 chambres2 chambres,1 salle de bain,1 toilettes séparées4 chambres",4,48.7092653,2.387571
Athis-mons (91200),2 chambres,1,48.7092653,2.387571
Attainville (95570),3 chambres,1,49.0554021,2.3521685
Aubergenville (78410),2 chambres3 chambres5 chambres,3,48.9573567,1.8740024
Aubervilliers (93300),2 chambres2 chambres2 chambres1 chambre2 chambres,6,48.9128812,2.3877325
Auffreville brasseuil (78930),3 chambres,1,48.9424404,1.7176365
Aulnay sous bois (93600),3 chambres2 chambres1 chambre2 chambres3 chambres,5,48.9458302,2.4953848
Aulnay-sous-bois (93600),"2 chambres3 chambres,Type  cuisine : Cuisine indépendante2 chambres1 chambre5 chambres",5,48.9458302,2.4953848
Auteuil (78770),"4 chambres,Type  cuisine : Cuisine américaine",1,48.8636436,1.7986507
Auvers-sur-oise (95430),4 chambres,1,49.0847325,2.1668393
Avon (77210),"32 chambres,Type  cuisine : Coin Cuisine",2,48.4142411,2.7478681
Avrainville (91630),3,1,48.5615165,2.2850738
Bagnolet (93170),"3 chambres,1 salle de bain,2 salles d'eau2 chambres",2,48.8670779,2.4215263
Baillet en france (95560),"4 chambres,1 salle de bain,1 salle d'eau",1,49.0683228,2.302725
Bailly-romainvilliers (77700),"2 chambres,Type  cuisine : Cuisine américaine",1,48.8691114,2.7948518
Ballainvilliers (91160),43 chambres5 chambres,3,48.6879499,2.2889439
Ballancourt sur essonne (91610),3 chambres,1,48.5244045,2.3878653
Ballancourt- sur-essonne (91610),"5 chambres,Type  cuisine : Cuisine américaine",1,48.5244045,2.3878653
Beaumont sur oise (95260),53 chambres,2,49.1373061,2.2812659
Bennecourt (78270),"4 chambres,2 salles de bain,1 salle d'eau",1,49.0302898,1.5223624
Beton-bazoches (77320),5 chambres,1,48.7727993,3.2982261
Beynes (78650),"1 salle d'eau4 chambres,1 salle de bain",2,48.8519315,1.8640913
Bezons (95870),321 chambre,4,48.9248096,2.2154111
Blennes (77940),5 chambres,1,48.2876431,2.9646713
Bobigny (93000),"3 chambres,1 salle de bain2 chambres",2,48.9074494,2.4422394
Bois-d'arcy (78390),2 chambres,1,48.8060408,2.0155014
Boissy saint leger (94470),0,1,48.7453294,2.5316514
Boissy-sous-saint-yon (91790),"51 chambre,Type  cuisine : Cuisine équipée",2,48.5531084,2.209898
Bondy (93140),3 chambres,1,48.9037427,2.4850744
Bonneuil-sur-marne (94380),2 chambres,1,48.7722488,2.4849456
Bonnieres sur seine (78270),"3 chambres,1 salle de bain1 chambre",2,49.0302898,1.5223624
Bonnières-sur-seine (78270),2 chambres,1,49.0302898,1.5223624
Bouafle (78410),4 chambres5 chambres,2,48.9573567,1.8740024
Boulogne billancourt (92100),"4 chambres3 chambres2 chambres,1 toilettes séparées1 chambre,1 salle de bain4 chambres1 chambre3 chambres",7,48.837494,2.2378546
Boulogne-billancourt (92100),"2 chambres1 chambre,Type  cuisine : Cuisine américaine2 chambres3 chambresIndépendante,Séjour séparé : Oui,2 chambres,1 salle de bain,1 salle d'eau,1 WC,1 placard",6,48.837494,2.2378546
Bouray sur juine (91850),5 chambres4 chambres,2,48.5113662,2.2957893
Bourdonne (78113),"3 chambres,1 salle de bain",1,48.7294048,1.6607875
Bourg-la-reine (92340),2 chambres2 chambres,2,48.7802432,2.3164136
Boussy saint antoine (91800),3 chambres,1,48.6893731,2.5347039
Bransles (77620),"2 chambres,Cheminée5 chambres,2 salles de bain,3 toilettes séparées",2,48.1728878,2.8872339
Bray sur seine (77480),4,1,48.4098774,3.3203761
Bray-sur-seine (77480),1 chambre,1,48.4098774,3.3203761
Bretigny sur orge (91220),1 chambre,1,48.600918,2.3198741
Bretigny-sur-orge (91220),2 chambres,1,48.600918,2.3198741
Breuillet (91650),3 chambres,1,48.5580434,2.1729914
Breval (78980),7 chambres,1,48.9412277,1.5650333
Brie-comte-robert (77170),2 chambres,1,48.6978561,2.6117962
Briis sous forges (91640),6 chambres,1,48.6249463,2.148692
Brunoy (91800),"3 chambres,Cheminée",1,48.6893731,2.5347039
Bruyères-le-châtel (91680),2,1,48.6026855,2.1885722
Bry-sur-marne (94360),2 chambres,1,48.8391471,2.5267964
Brétigny-sur-orge (91220),"1 chambre,Type  cuisine : Cuisine séparée équipée",1,48.600918,2.3198741
Bullion (78830),"6 chambres,Type  cuisine : Cuisine séparée équipée,Cheminée",1,48.6268895,2.0062455
Bussy saint georges (77600),44 chambres4 chambres4 chambres5 chambres,5,48.8331038,2.7329708
Bussy-saint-georges (77600),6,2,48.8331038,2.7329708
Cannes ecluse (77130),4 chambres,1,48.3670139,3.042987
Cannes-Écluse (77130),7 chambres,2,48.3670139,3.042987
Carrieres sur seine (78420),3 chambres,1,48.9126629,2.1800703
Carrieres-sous-poissy (78955),3 chambres3 chambres,2,48.9470739,2.0283635
Carrieres-sur-seine (78420),2 chambres,1,48.9126629,2.1800703
Carrières-sous-poissy (78955),2 chambres,1,48.9470739,2.0283635
Carrières-sur-seine (78420),1 salle de bain,1,48.9126629,2.1800703
Cergy (95000),2 chambres2 chambres4 chambres1 chambre2 chambres3 chambres,6,49.0278361,2.0654275
Cergy (95800),32 chambres3 chambres1 chambre1 chambre2 chambres,6,49.0424026,2.0120656
Cernay-la-ville (78720),3 chambres3 chambres,2,48.6698859,1.9621274
Cerny (91590),0,1,48.4716387,2.3343155
Cesson (77240),"4 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.5653247,2.6208805
Chalifert (77144),1 chambre,1,48.8675425,2.7501566
Champagne sur seine (77430),"3 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.407225,2.8054978
Champagne-sur-seine (77430),2 chambres,1,48.407225,2.8054978
Champigny sur marne (94500),2 chambres4 chambres,2,48.817383,2.5084392
Champigny-sur-marne (94500),4 chambres3 chambres,2,48.817383,2.5084392
Champs sur marne (77420),4 chambres,1,48.8486886,2.5954263
Champs-sur-marne (77420),"2 chambres,Type  cuisine : Cuisine américaine",1,48.8486886,2.5954263
Chanteloup-les-vignes (78570),"4 chambres,Type  cuisine : Cuisine séparée équipée,Cheminée1 chambre,Type  cuisine : Cuisine équipée",2,48.9779045,2.0436237
Charenton le pont (94220),2 chambres2 chambres1 chambre3 chambres,4,48.8229222,2.4071176
Charenton-le-pont (94220),"1 chambre,1 salle de bain",1,48.8229222,2.4071176
Chars (95750),0,1,49.1560488,1.9179861
Chatenay malabry (92290),1 chambre,2,48.769758,2.260224
Chatenay-malabry (92290),4 chambres,2,48.769758,2.260224
Chatou (78400),51 chambre3 chambres,4,48.8965097,2.1564309
Chaumes en brie (77390),1 chambre2 chambres3 chambres,3,48.6342678,2.803192
Chaumes-en-brie (77390),"3 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.6342678,2.803192
Chavenay (78450),353 chambres,3,48.8359649,2.0003797
Chaville (92370),4 chambres,1,48.8090026,2.1924797
Chelles (77500),54 chambres2 chambres,3,48.8844287,2.591598
Chennevieres sur marne (94430),2 chambres,1,48.79513,2.535396
ChenneviÈres-sur-marne (94430),3 chambres,1,48.79513,2.535396
Chenoise (77160),0,1,48.585034,3.248409
Chessy (77700),2 chambres4 chambres,2,48.8691114,2.7948518
Chevilly-larue (94550),4 chambres3 chambres,2,48.7677049,2.3513061
Chilly-mazarin (91380),"32 chambres,Type  cuisine : Cuisine indépendante3 chambres",3,48.7051792,2.3147087
Choisy le roi (94600),3 chambres3 chambres5 chambres3 chambres,4,48.7636682,2.4195585
Choisy-le-roi (94600),3,1,48.7636682,2.4195585
Châtenay-malabry (92290),2 chambres,1,48.769758,2.260224
Clamart (92140),"2 chambres7 chambres4 chambres3 chambres,Type  cuisine : Cuisine américaine,1 salle de bain2 chambres1 chambre2 chambres1 chambre3 chambres",9,48.7959696,2.2549138
Claye souilly (77410),4 chambres5 chambres,2,48.9467251,2.7158972
Claye-souilly (77410),0,1,48.9467251,2.7158972
Clichy (92110),1 chambre3 chambres,2,48.9039119,2.3043192
Clichy-sous-bois (93390),3 chambres,1,48.9081466,2.5487004
Collegien (77090),2 chambres2 chambres,2,48.824764,2.6795987
Colombes (92700),"42 chambres,Type  cuisine : Cuisine séparée équipée2 chambres,Type  cuisine : Cuisine séparée équipée3 chambres2 chambres2 chambres3 chambres",7,48.9218984,2.245196
Combs-la-ville (77380),2 chambres,1,48.6605528,2.5756093
Condé-sur-vesgre (78113),4 chambres,1,48.7294048,1.6607875
Conflans-sainte-honorine (78700),"2 chambres,Type  cuisine : Cuisine indépendante3 chambres2 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 toilettes séparées,1 niveau",3,49.0017356,2.0973608
Corbeil essonnes (91100),"2 chambres3 chambres,1 salle de bain,1 toilettes séparées4 chambres3 chambres",4,48.5972508,2.4675764
Corbeil-essonnes (91100),"32341 chambre1 chambre,1 salle d'eau",6,48.5972508,2.4675764
Cormeilles en parisis (95240),"2 chambres,1 salle de bain1 chambre,1 salle de bain",2,48.9700911,2.2019253
Cormeilles-en-parisis (95240),"2,Séjour séparé : Non,Salle à manger : Non,3 chambres,1 bureau,2 salles de bain,2 salles d'eau,2 WC",2,48.9700911,2.2019253
Coubert (77170),"3 chambres,Type  cuisine : Cuisine séparée équipée,1 salle d'eau",1,48.6978561,2.6117962
Coubron (93470),4 chambres,1,48.9179863,2.5760315
Coulommiers (77120),4 chambres2 chambres2 chambres,3,48.7869882,3.1070751
Courbevoie (92400),3 chambres2 chambres1 chambre3 chambres,5,48.8970029,2.250142
Courdimanche (95800),"5 chambres,2 salles de bain",1,49.0424026,2.0120656
Courtry (77181),5 chambres,1,48.9136613,2.614561
Creteil (94000),2 chambres3 chambres1 chambre2 chambres2 chambres,5,48.7845271,2.4539997
Crouy-sur-ourcq (77840),0,1,49.0797155,3.1097376
Créteil (94000),62 chambres2 chambres,3,48.7845271,2.4539997
Dammartin en goele (77230),2 chambres,1,49.0392371,2.6868272
Darvault (77140),233,3,48.2762886,2.6943337
Domont (95330),53 chambres3 chambres4 chambres2 chambres3 chambres,6,49.0289653,2.3249234
Donnemarie dontilly (77520),0,1,48.4821763,3.1405568
Donnemarie-dontilly (77520),"4 chambres,1 salle de bain,1 salle d'eau,Cheminée3 chambres,1 salle de bain,1 salle d'eau,Cheminée",2,48.4821763,3.1405568
Dourdan (91410),343 chambres3 chambres,4,48.497046,2.0010718
Drancy (93700),"3 chambres,Type  cuisine : Cuisine indépendante,Cheminée3 chambres,Type  cuisine : Cuisine indépendante,Cheminée3 chambres3 chambres,1 salle de bain,2 toilettes séparées1 chambre5 chambres2 chambres2 chambres2 chambres",10,48.9250328,2.440699
Draveil (91210),4 chambres1 chambre,2,48.6777255,2.4238978
Drocourt (78440),"3 chambres,1 salle de bain,1 salle d'eau",1,49.021647,1.7808132
Dugny (93440),5,1,48.9488689,2.4225905
Eaubonne (95600),"5 chambres,Cheminée2 chambres,Type  cuisine : Cuisine indépendante2 chambres4 chambres2 chambres,4.06 salles d'eau4 chambres,Type  cuisine : Cuisine séparée équipée,2 salles d'eau",6,48.9913458,2.2776876
Ecquevilly (78920),"2 chambres,1 salle d'eau",1,48.9482663,1.9248291
Elancourt (78990),32 chambres,2,48.7771322,1.9569157
Emerainville (77184),2 chambres4 chambres,2,48.8186343,2.6113655
Enghien-les-bains (95880),2 chambres,1,48.9706125,2.301617
Epone (78680),4 chambres3 chambres4 chambres4 chambres,4,48.9459042,1.8083029
Eragny (95610),1 chambre,1,49.0221246,2.1030397
Esbly (77450),8,1,48.9223548,2.8154527
Esmans (77940),"4 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.2876431,2.9646713
Etampes (91150),5 chambres5 chambres1 chambre2 chambres,4,48.3895095,2.2436421
Feucherolles (78810),4 chambres,1,48.8755125,1.9728672
Flins sur seine (78410),4 chambres,1,48.9573567,1.8740024
Fontaine la riviere (91690),2 chambres,1,48.3521305,2.1111051
Fontainebleau (77300),3 chambres,2,48.4230917,2.6644703
Fontenay aux roses (92260),2 chambres1 chambre3 chambres1 chambre2 chambres1 chambre1 chambre,7,48.7895453,2.2862939
Fontenay sous bois (94120),2 chambres3 chambres1 chambre2 chambres1 chambre3 chambres2 chambres,7,48.8502815,2.4732587
Fontenay tresigny (77610),3 chambres,1,48.7342417,2.8652274
Fontenay-les-briis (91640),1 chambre,1,48.6249463,2.148692
Fontenay-sous-bois (94120),"4 chambres2 chambres,Type  cuisine : Cuisine séparée équipée",2,48.8502815,2.4732587
Fontenay-trésigny (77610),"1 chambre,1 salle de bain",1,48.7342417,2.8652274
Franconville (95130),544,3,48.9920347,2.2249802
Freneuse (78840),3 chambres,1,49.0530919,1.6125028
Frepillon (95740),"5 chambres,1 salle de bain,1 salle d'eau",1,49.0497874,2.2109558
Fresnes (94260),1 chambre1 chambre,3,48.7571886,2.3262892
Gambais (78950),"4 chambres,2 salles de bain,2 toilettes séparées",1,48.7773565,1.6690972
Garches (92380),"3 chambres3 chambres,Type  cuisine : Cuisine indépendante2 chambres,Type  cuisine : Cuisine indépendante",3,48.8469069,2.1893546
Garges les gonesse (95140),0,1,48.9695217,2.4012035
Gennevilliers (92230),1 chambre3 chambres3 chambres,3,48.9318416,2.3023457
Gif sur yvette (91190),3 chambres,1,48.7086915,2.1384101
Gif-sur-yvette (91190),"4 chambres4 chambres,Cheminée2 chambres,Type  cuisine : Cuisine séparée équipée",3,48.7086915,2.1384101
Gironville-sur-essonne (91720),4 chambres,1,48.3710986,2.3549894
Gometz la ville (91400),2 chambres,1,48.7170554,2.1746061
Gommecourt (78270),2 chambres,1,49.0302898,1.5223624
Gournay-sur-marne (93460),4 chambres,1,48.8604772,2.5765004
Goussainville (95190),"21 chambre,Type  cuisine : Cuisine américaine,Cheminée4 chambres",3,49.0417176,2.4483842
Goussonville (78930),"Type  cuisine : Coin Cuisine,1 salle de bain",1,48.9424404,1.7176365
Gouvernes (77400),5 chambres,1,48.8804099,2.6912817
Grigny (91350),2 chambres2 chambres,2,48.6586085,2.3880807
Grisy les platres (95810),3 chambres4 chambres4 chambres,3,49.1555613,2.0926485
Grisy-suisnes (77166),4 chambres,1,48.6658031,2.6657603
Groslay (95410),1 chambre,1,48.9851824,2.3512348
Guerard (77580),3 chambres,1,48.8491956,2.9210741
Guerville (78930),"5 chambres,1 salle de bain",1,48.9424404,1.7176365
Guignes (77390),"43 chambres,Type  cuisine : Cuisine indépendante",2,48.6342678,2.803192
Guyancourt (78280),"2 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 toilettes séparées3 chambres,Type  cuisine : Cuisine indépendante",2,48.7741863,2.074842
Herblay sur seine (95220),4 chambres,1,49.004789,2.1751463
Herblay-sur-seine (95220),4 chambres,1,49.004789,2.1751463
Houdan (78550),4 chambres4 chambres3 chambres4 chambres3 chambres4 chambres,6,48.798783,1.6385872
Issy les moulineaux (92130),33 chambres3 chambres3 chambres2 chambres1 chambre2 chambres1 chambre,8,48.8237843,2.2635829
Issy-les-moulineaux (92130),3 chambres,1,48.8237843,2.2635829
Issy-les-moulineaux (h... (92130),"3 chambres,1 salle de bain,1 salle d'eau",1,48.8237843,2.2635829
Itteville (91760),4 chambres,1,48.5143426,2.3419755
Ivry sur seine (94200),1 chambre,1,48.8122667,2.3879341
Ivry-sur-seine (94200),"1 chambre,1 salle de bain2 chambres",2,48.8122667,2.3879341
Janvry (91640),4 chambres,1,48.6249463,2.148692
Joinville le pont (94340),3 chambres,1,48.8199085,2.472668
Jouars-pontchartrain (78760),3 chambres,1,48.7877142,1.9141643
Jouy en josas (78350),10 chambres2 chambres,2,48.7652239,2.1622509
Jouy-le-moutier (95280),4 chambres,1,49.0118182,2.0345868
Juvisy sur orge (91260),6 chambres,1,48.6917105,2.3765296
Juziers (78820),43,2,48.9989346,1.8433984
L hay les roses (94240),2 chambres,1,48.7780565,2.3448616
L isle adam (95290),6,1,49.1074279,2.2330594
L' etang-la-ville (78620),5 chambres5 chambres5 chambres5 chambres,4,48.8672541,2.0577629
L'haÿ-les-roses (94240),2 chambres,1,48.7780565,2.3448616
L'isle adam (95290),"3 chambres,Type  cuisine : Cuisine séparée équipée,2 salles d'eau",1,49.1074279,2.2330594
La celle saint cloud (78170),2 chambres,1,48.8497878,2.1395475
La chapelle gauthier (77720),4 chambres,1,48.580438,2.908354
La chapelle-gauthier (77720),3 chambres3 chambres,2,48.580438,2.908354
La croix en brie (77370),4 chambres,1,48.5665745,3.0734169
La falaise (78410),4 chambres,1,48.9573567,1.8740024
La ferte sous jouarre (77260),55 chambres,2,48.9736141,3.1116932
La ferte-sous-jouarre (77260),4 chambres2 chambres3 chambres1 chambre,4,48.9736141,3.1116932
La ferté-gaucher (77320),"3 chambres,Type  cuisine : Cuisine équipée4 chambres",2,48.7727993,3.2982261
La ferté-sous-jouarre (77260),"3 chambres3 chambres4 chambres3 chambres2 chambres,Type  cuisine : Cuisine indépendante",6,48.9736141,3.1116932
La garenne colombes (92250),1 chambre,1,48.90727,2.2458775
La grande-paroisse (77130),6,1,48.3670139,3.042987
La queue-en-brie (94510),6,1,48.776918,2.5757688
La rochette (77000),1 chambre,1,48.523948,2.6888745
La ville-du-bois (91620),"2 chambres1 chambre,Type  cuisine : Cuisine américaine,1 salle d'eau1 chambre",3,48.6593344,2.2488811
Lagny-sur-marne (77400),"3 chambres,Type  cuisine : Cuisine américaine4 chambres3 chambres4 chambres,Type  cuisine : Cuisine séparée équipée",4,48.8804099,2.6912817
Lardy (91510),3 chambres4 chambres,2,48.5107746,2.2504618
Le blanc mesnil (93150),1 chambre1 chambre,2,48.9371479,2.4694978
Le bourget (93350),"2 chambres,1 salle d'eau1 chambre,1 salle de bain",2,48.9379976,2.4253387
Le chesnay (78150),"2 chambres,Type  cuisine : Cuisine indépendante1 chambre1 chambre3 chambres",4,48.8284137,2.1302359
Le chesnay rocquencourt (78150),3 chambres,1,48.8284137,2.1302359
Le kremlin bicetre (94270),3 chambres2 chambres,2,48.8087926,2.3580015
Le mee-sur-seine (77350),3,1,48.5345121,2.6048627
Le mée-sur-seine (77350),"4 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.5345121,2.6048627
Le pecq (78230),3 chambres1 chambre2 chambres4 chambres,4,48.8921071,2.1087515
Le perray-en-yvelines (78610),5 chambres,1,48.7148328,1.7843004
Le perreux sur marne (94170),343 chambres3 chambres4 chambres4 chambres3 chambres4 chambres,8,48.8430979,2.5025225
Le perreux-sur-marne (94170),72 chambres,2,48.8430979,2.5025225
Le plessis robinson (92350),"3 chambres,1 salle de bain,2 toilettes séparées3 chambres",2,48.7814967,2.2626499
Le plessis-trévise (94420),2,1,48.808276,2.5748159
Le port-marly (78560),3 chambres,1,48.8807673,2.1109889
Le pre-saint-gervais (93310),2 chambres1 chambre,2,48.8841319,2.4056715
Le thillay (95500),"5 chambres,1 salle de bain,1 salle d'eau",1,48.9856716,2.464968
Les clayes sous bois (78340),"3 chambres,1 salle de bain,1 salle d'eau",1,48.8168287,1.9847828
Les lilas (93260),1 chambre4 chambres,2,48.8820573,2.4200591
Les pavillons sous bois (93320),4 chambres,1,48.9071223,2.5055225
Les ulis (91940),"4 chambres,Type  cuisine : Cuisine séparée équipée4 chambres",2,48.6753761,2.1662042
Leuville-sur-orge (91310),"4 chambres3 chambres,Type  cuisine : Cuisine équipée,1 salle d'eau3 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau4 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 salle d'eau,Cheminée",4,48.6318506,2.2683684
Levallois perret (92300),2 chambres1 chambre2 chambres2 chambres2 chambres2 chambres4 chambres,8,48.8946047,2.2890155
Levallois-perret (92300),1 chambre2 chambres,2,48.8946047,2.2890155
Lieusaint (77127),"3 chambres,Type  cuisine : Cuisine séparée équipée",2,48.6278394,2.5436072
Limay (78520),"2 chambres,1 salle de bain4 chambres2 chambres1 chambre1 chambre",5,49.0115323,1.6780601
Limeil brevannes (94450),1 chambre2 chambres,2,48.7463397,2.4875113
Limours (91470),"6 chambres,Type  cuisine : Cuisine séparée équipée",1,48.6324069,2.0778663
Linas (91310),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres,Type  cuisine : Cuisine indépendante3 chambres,1 salle d'eau3 chambres,Type  cuisine : Cuisine indépendante1 chambre",5,48.6318506,2.2683684
Livry gargan (93190),4 chambres6 chambres,2,48.9183662,2.5314752
Livry-gargan (93190),"1 chambre,Type  cuisine : Cuisine indépendante1 chambre2 chambres",3,48.9183662,2.5314752
Lizy sur ourcq (77440),4 chambres,1,49.0174551,3.050229
Lommoye (78270),4 chambres,1,49.0302898,1.5223624
Longjumeau (91160),1 chambre4 chambres2 chambres2 chambres,4,48.6879499,2.2889439
Longuesse (95450),8,1,49.0773536,1.9037631
Longueville (77650),"3 chambres,Type  cuisine : Cuisine indépendante",1,48.5149569,3.2491174
Louvres (95380),3 chambres,1,49.0557957,2.5165145
Lumigny nesles ormeaux (77540),7 chambres,1,48.6920763,2.9792743
Magnanville (78200),3 chambres,1,48.9567026,1.6307396
Magny en vexin (95420),"3 chambres,1 salle d'eau",1,49.13345,1.7826795
Magny les hameaux (78114),3 chambres,1,48.7378942,2.0551073
Magny-en-vexin (95420),5 chambres2 chambres4 chambres,3,49.13345,1.7826795
Magny-les-hameaux (78114),4 chambres,1,48.7378942,2.0551073
Maisons alfort (94700),2 chambres2 chambres4 chambres,3,48.8013005,2.4365975
Maisons laffitte (78600),7 chambres,1,48.9357062,2.1323075
Maisons-alfort (94700),441 chambre,3,48.8013005,2.4365975
Malakoff (92240),4 chambres3 chambres4 chambres,3,48.8169874,2.2980754
Mantes la jolie (78200),"42 chambres,1 salle de bain2 chambres,1 salle de bain6 chambres,1 salle de bain,1 salle d'eau5 chambres1 chambre",6,48.9567026,1.6307396
Mantes la ville (78711),"3 chambres,1 salle d'eau2 chambres,1 salle d'eau1 chambre6 chambres",4,48.9752349,1.7160458
Mantes-la-jolie (78200),3 chambres2 chambres,3,48.9567026,1.6307396
Mantes-la-ville (78711),2 chambres3 chambres3 chambres2 chambres3 chambres,5,48.9752349,1.7160458
Marcoussis (91460),"5 chambres,2 salles de bain3 chambres",2,48.6490584,2.1981399
Mareil marly (78750),3 chambres,1,48.8798778,2.0755472
Marines (95640),"4 chambres,1 salle d'eau",1,49.1549024,2.0111754
