location,rooms,total_listings,latitude,longitude
Marly le roi (78160),4 chambres,1,48.866042,2.0909777
Marly-la-ville (95670),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.080811,2.506439
Marnes la coquette (92430),6 chambres,1,48.8287849,2.1646468
Marolles-en-brie (94440),"4 chambres,Type  cuisine : Cuisine indépendante",2,48.7338944,2.567586
Massy (91300),63 chambres2 chambres,3,48.7263611,2.2770305
Maule (78580),"5 chambres3 chambres,1 salle d'eau1 chambre,1 salle d'eau3 chambres",4,48.915956,1.8736172
Maurepas (78310),6,1,48.7593965,1.9224347
Meaux (77100),"71234 chambres3 chambres3 chambres2 chambres1 chambre,1 salle de bain2 chambres5 chambres3 chambres",12,48.9424327,2.8954555
Melun (77000),3 chambres3 chambres1 chambre,4,48.523948,2.6888745
Mennecy (91540),"51 chambre,1 salle de bain",2,48.561406,2.4212741
Menouville (95810),"3 chambres,2 salles de bain",1,49.1555613,2.0926485
Menucourt (95180),"3 chambres3 chambres,Type  cuisine : Cuisine indépendante",2,49.0273763,1.9752824
Mery sur oise (95540),2 chambres,1,49.0517643,2.1754189
Mery-sur-oise (95540),1 chambre,1,49.0517643,2.1754189
Messy (77410),2 chambres,1,48.9467251,2.7158972
Meudon (92190),2 chambres1 chambre1 chambre,4,48.8097395,2.229958
Meudon la foret (92360),3,1,48.7943347,2.2218202
Meulan en yvelines (78250),2 chambres,1,49.018842,1.9056632
Mezieres sur seine (78970),5 chambres,1,48.9481035,1.7784674
Mezieres-sur-seine (78970),5 chambres,1,48.9481035,1.7784674
Mezy-sur-seine (78250),5 chambres,1,49.018842,1.9056632
Milly-la-forêt (91490),"5 chambres,Type  cuisine : Cuisine séparée équipée",2,48.4190798,2.4722485
Mitry-mory (77290),"4 chambres,Type  cuisine : Cuisine américaine",1,48.979601,2.6261836
Moisselles (95570),"3 chambres,1 salle de bain,1 salle d'eau",1,49.0554021,2.3521685
Moisson (78840),5 chambres,1,49.0530919,1.6125028
Moissy cramayel (77550),3,1,48.6185526,2.6430061
Moissy-cramayel (77550),12 chambres,2,48.6185526,2.6430061
Mondreville (77570),"4 chambres,Type  cuisine : Cuisine indépendante",1,48.1774585,2.6370517
Montdauphin (77320),0,1,48.7727993,3.2982261
Montereau fault yonne (77130),"2 chambres,1 salle de bain,1 toilettes séparées",1,48.3670139,3.042987
Montereau-fault-yonne (77130),"2 chambres,Cheminée2 chambres",3,48.3670139,3.042987
Montevrain (77144),2 chambres,1,48.8675425,2.7501566
Montfermeil (93370),5 chambres,1,48.8976985,2.5663873
Montgeron (91230),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.6951474,2.4597005
Montigny les cormeilles (95370),"3 chambres,1 salle de bain3 chambres",2,48.993399,2.1944223
Montigny-lès-cormeilles (95370),2 chambres,1,48.993399,2.1944223
Montigny-sur-loing (77690),5 chambres,1,48.324056,2.7519206
Montlhery (91310),1 chambre,1,48.6318506,2.2683684
Montlhéry (91310),"2 chambres,Type  cuisine : Cuisine séparée équipée5 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau2 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain1 chambre,Type  cuisine : Cuisine indépendante,1 salle d'eau6 chambres,Type  cuisine : Cuisine équipée,2 salles de bain,Cheminée",5,48.6318506,2.2683684
Montmorency (95160),3 chambres1 chambre,2,48.9920717,2.3246336
Montreuil (93100),"332 chambres1 chambre,1 salle de bain1 chambre2 chambres4 chambres5 chambres1 chambre,1 salle de bain2 chambres1 chambre",12,48.8637053,2.4557048
Montrouge (92120),2 chambres2 chambres2 chambres1 chambre,4,48.8158984,2.318096
Montry (77450),5 chambres,1,48.9223548,2.8154527
Morangis (91420),4 chambres3 chambres3 chambres,3,48.7022926,2.3371532
Moret-loing-et-orvanne (77250),2 chambres3 chambres,2,48.3357544,2.825801
Morigny champigny (91150),2 chambres,1,48.3895095,2.2436421
Mormant (77720),4 chambres,1,48.580438,2.908354
Morsang sur orge (91390),2 chambres,1,48.6564924,2.3522011
Morsang-sur-orge (91390),4 chambres3 chambres,2,48.6564924,2.3522011
Mouroux (77120),3 chambres2 chambres,2,48.7869882,3.1070751
Mousseaux-lès-bray (77480),"48 chambres,Cheminée",1,48.4098774,3.3203761
Médan (78670),7,1,48.9438021,1.9904481
Nangis (77370),"5 chambres,Cheminée4 chambres",3,48.5665745,3.0734169
Nanterre (92000),"1 chambre2 chambres,1 salle de bain1 chambre",4,48.8972971,2.2019577
Nanteuil les meaux (77100),5 chambres,1,48.9424327,2.8954555
Neauphle le chateau (78640),3 chambres1 chambre,2,48.8244114,1.881277
Neauphle-le-château (78640),4 chambres,1,48.8244114,1.881277
Nemours (77140),"3 chambres2 chambres,Type  cuisine : Cuisine américaine,Cheminée4 chambres",3,48.2762886,2.6943337
Neuilly plaisance (93360),41 chambre,2,48.8640549,2.5090262
Neuilly sur seine (92200),1 chambre,1,48.8862172,2.2684793
Neuilly-sur-marne (93330),22 chambres2 chambres,3,48.8643485,2.5413863
Neuilly-sur-seine (92200),1 chambre,1,48.8862172,2.2684793
Nezel (78410),7 chambres,1,48.9573567,1.8740024
Nogent-sur-marne (94130),0,1,48.8369395,2.4819446
Noisiel (77186),3 chambres,1,48.8464312,2.6243004
Noisy le grand (93160),4 chambres4 chambres4 chambres2 chambres2 chambres1 chambre1 chambre2 chambres4 chambres1 chambre,10,48.8326326,2.5700228
Noisy le roi (78590),2 chambres,1,48.8443048,2.0548354
Noisy le sec (93130),4 chambres,1,48.8917788,2.4570495
Noisy-le-grand (93160),2 chambres,1,48.8326326,2.5700228
Nozay (91620),3 chambres,1,48.6593344,2.2488811
Ollainville (91340),4 chambres,1,48.6068705,2.2273076
Orcemont (78125),"5 chambres,1 salle de bain",1,48.6335127,1.737535
Orgerus (78910),5,1,48.8434332,1.7080274
Orly (94310),2 chambres3 chambres4 chambres,3,48.7402096,2.387288
Orsay (91400),7,1,48.7170554,2.1746061
Osny (95520),"1 chambre,Type  cuisine : Cuisine séparée équipée,1 salle d'eau4 chambres",3,49.0669492,2.0643313
Othis (77280),7,1,49.0859787,2.6564264
Ozoir la ferriere (77330),4 chambres2 chambres,2,48.7631645,2.678917
Ozoir-la-ferriere (77330),3 chambres,1,48.7631645,2.678917
Ozoir-la-ferrière (77330),"23 chambres,Type  cuisine : Cuisine américaine2 chambres",3,48.7631645,2.678917
Palaiseau (91120),3 chambres4 chambres,3,48.7154856,2.2290618
Pantin (93500),"1 chambre,1 salle de bain1 chambre1 chambre,1 salle d'eau3 chambres1 chambre",5,48.8999615,2.4075049
Paray-vieille-poste (91550),3 chambres,1,48.7107407,2.3627598
Paris 10 (75010),"323 chambres,Cheminée2 chambres,Cheminée",7,48.8760081,2.360445
Paris 11 (75011),"12232 chambres1 chambre,1 salle de bain1 chambre2 chambres1 chambre1 chambre",10,48.8600808,2.3781399
Paris 12 (75012),"3 chambres2 chambres,Type  cuisine : Cuisine américaine3 chambres,Type  cuisine : Cuisine séparée équipée2 chambres,Type  cuisine : Cuisine indépendante2 chambres1 chambre2 chambres",7,48.8352003,2.4451359
Paris 13 (75013),1 chambre1 chambre1 chambre2 chambres1 chambre,7,48.8298445,2.3630439
Paris 14 (75014),"1 chambre2 chambres,1 salle de bain1 chambre",9,48.8295585,2.323974
Paris 15 (75015),"1 chambre1 chambre1 chambreType  cuisine : Cuisine indépendante1 chambre,1 salle de bain1 chambre1 chambre,Type  cuisine : Cuisine séparée équipée,1 salle d'eau1 chambre1 chambre1 chambre",13,48.8414302,2.2961649
Paris 16 (75016),"3 chambres2 chambres,1 salle de bainType  cuisine : Cuisine séparée équipéeType  cuisine : Coin Cuisine1 chambre2 chambres,1 salle d'eau1 chambre2 chambres,1 salle de bain1 chambre,1 salle de bain1 salle d'eau4 chambres",14,48.854928,2.2553299
Paris 17 (75017),"2 chambres1 chambre,Type  cuisine : Cuisine américaine1 chambre1 chambre1 chambre1 salle de bain1 chambre,1 salle de bain1 chambre2 chambres",16,48.8873906,2.3064833
Paris 18 (75018),32 chambres1 chambre1 chambre1 chambre1 chambre2 chambres2 chambres2 chambres1 chambre1 chambre1 chambre1 chambre,16,48.8916223,2.3479768
Paris 19 (75019),31 chambre1 chambre1 chambre1 chambre1 chambre1 chambre1 chambre1 chambre1 chambre2 chambres,13,48.8869876,2.3830496
Paris 2 (75002),0,1,48.8676828,2.3431278
Paris 20 (75020),"214 chambres,Type  cuisine : Cuisine américaine1 chambre2 chambres2 chambres3 chambres3 chambres4 chambres4 chambres3 chambres2 chambres1 chambre,1 salle de bain1 chambre,1 salle d'eau1 chambre3 chambres1 chambre4 chambres,Séjour séparé : Non,Salle à manger : Non,2 chambres,1 salle de bain,1 salle d'eau,1 WC,1 placard1 chambre3 chambres",23,48.8618219,2.4010758
Paris 3 (75003),"32 chambres,2 salles de bain",2,48.8626858,2.3586866
Paris 4 (75004),1 chambre1 chambre,2,48.8541478,2.3568079
Paris 5 (75005),0,2,48.8454189,2.3525824
Paris 6 (75006),1 chambre,2,48.8493765,2.3322544
Paris 7 (75007),1 chambre,2,48.854909,2.3128667
Paris 8 (75008),"1 chambre2 chambres,Type  cuisine : Cuisine indépendante4 chambres1 chambre",4,48.8733792,2.3111527
Paris 9 (75009),11 salle d'eau1 chambre3 chambres,5,48.8770673,2.3379172
Parmain (95620),"5 chambres,1 salle de bain,1 salle d'eau5 chambres,1 salle de bain,1 salle d'eau9 chambres7 chambres,1 salle de bain,2 salles d'eau",5,49.1247097,2.2053023
Pierrefitte sur seine (93380),1 chambre,1,48.9604165,2.3630609
Pierrefitte-sur-seine (93380),2,1,48.9604165,2.3630609
Pierrelaye (95480),3 chambres,1,49.0199726,2.1547282
Plaisir (78370),3 chambres3 chambres2 chambres,3,48.8129632,1.9423656
Poigny la foret (78125),"5 chambres,2 salles de bain,1 salle d'eau",1,48.6335127,1.737535
Poincy (77470),3 chambres,1,48.944077,2.9677707
Poissy (78300),32 chambres,2,48.9240863,2.0326949
Pommeuse (77515),2 chambres3 chambres2 chambres,3,48.7969897,3.0006563
Pontault combault (77340),4 chambres3 chambres,2,48.7885,2.609667
Pontcarre (77135),4 chambres,1,48.7953903,2.7048547
Pontoise (95000),4,1,49.0278361,2.0654275
Pontoise (95300),"2 chambres,Type  cuisine : Cuisine indépendante6 chambres5 chambres2 chambres,1 salle de bain2 chambres3 chambres",6,49.079847,2.10883
Precy-sur-marne (77410),2 chambres,1,48.9467251,2.7158972
Presles (95590),"3 chambres,2 salles d'eau2 chambres",2,49.106094,2.2853272
Provins (77160),"55 chambres5 chambres,Type  cuisine : Coin Cuisine",3,48.585034,3.248409
Puiseux en france (95380),4 chambres,1,49.0557957,2.5165145
Puteaux (92800),"1 chambre2 chambres1 chambre,1 salle d'eau1 chambre,Type  cuisine : Cuisine américaine,1 salle d'eau1 chambre3 chambres4 chambres",9,48.8825739,2.2382019
Quiers (77720),"3 chambres,Type  cuisine : Cuisine séparée équipée",1,48.580438,2.908354
Quincy-sous-sénart (91480),5 chambres,1,48.674543,2.5338598
Quincy-voisins (77860),"2 chambres,Type  cuisine : Cuisine équipée,1 salle d'eau",1,48.8878659,2.8698749
Rambouillet (78120),"3 chambres,Type  cuisine : Cuisine indépendante4 chambres,1 salle de bain2 chambres",3,48.6118676,1.8799163
Rebais (77510),2 chambres7 chambres,2,48.8746534,3.2505332
Richebourg (78550),4 chambres,1,48.798783,1.6385872
Ris orangis (91130),2 chambres3 chambres,2,48.6451959,2.4131769
Ris-orangis (91130),"3 chambres3 chambres,1 salle de bain3 chambres",3,48.6451959,2.4131769
Rocquencourt (78150),3 chambres,1,48.8284137,2.1302359
Roissy en brie (77680),2 chambres4 chambres,2,48.7914667,2.6660226
Roissy-en-brie (77680),5,1,48.7914667,2.6660226
Romainville (93230),"3 chambres,1 salle de bain,1 salle d'eau1 chambre1 salle de bain",3,48.8848626,2.4333459
Rosny sous bois (93110),"2 chambres,1 salle d'eau1 chambre",2,48.8743718,2.4884328
Rueil malmaison (92500),5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres2 chambres4 chambres,12,48.8718031,2.1801931
Rueil-malmaison (92500),1 chambre2 chambres,2,48.8718031,2.1801931
Saint cheron (91530),1221 chambre,4,48.5517269,2.1021861
Saint cloud (92210),1 chambre1 chambre,2,48.8439913,2.2117806
Saint denis (93200),"3 chambres2 chambres2 chambres2 chambres1 chambre3 chambres,Type  cuisine : Cuisine séparée équipée,2 salles de bain1 chambre",7,48.9334215,2.3624387
Saint germain en laye (78100),2 chambres4 chambres3 chambres2 chambres2 chambres5 chambres5 chambres,7,48.9356047,2.0917743
Saint germain en laye (78112),4 chambres2 chambres,2,48.8862091,2.0567901
Saint germain les corbeil (91250),4 chambres4 chambres5 chambres5 chambres,4,48.6379778,2.5153633
Saint germain lès arpajon (91180),"1 chambre,Type  cuisine : Cuisine indépendante",1,48.5980865,2.2638328
Saint leger en yvelines (78610),3 chambres,1,48.7148328,1.7843004
Saint mard (77230),3 chambres,1,49.0392371,2.6868272
Saint martin en biere (77630),"6 chambres,Type  cuisine : Cuisine américaine,Cheminée",1,48.4228039,2.5590892
Saint martin la garenne (78520),4 chambres,1,49.0115323,1.6780601
Saint maur des fosses (94100),3 chambres3 chambres1 chambre,3,48.8007171,2.4871004
Saint michel sur orge (91240),3 chambres,1,48.6326762,2.3117727
Saint nom la breteche (78860),3 chambres,1,48.8620481,2.0183226
Saint ouen l aumone (95310),3 chambres,1,49.0450571,2.1263007
Saint ouen sur seine (93400),2 chambres2 chambres2 chambres3 chambres,4,48.9124365,2.3314127
Saint pierre du perray (91280),1 chambre,1,48.6073421,2.5180799
Saint soupplets (77165),2 chambres,1,49.0271409,2.8056341
Saint vrain (91770),2 chambres5 chambres,2,48.5360593,2.3196777
Saint-arnoult-en-yvelines (78730),6 chambres,1,48.5652685,1.9611557
Saint-barthélemy (77320),"Séjour séparé : Oui,Salle à manger : Oui,5 chambres,1 bureau,2 salles de bain,2 salles d'eau,3 WC3 chambres,Type  cuisine : Cuisine américaine",2,48.7727993,3.2982261
Saint-brice (77160),3 chambres,1,48.585034,3.248409
Saint-brice-sous-forêt (95350),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.0068707,2.3428985
Saint-cyr-l'ecole (78210),3 chambres,1,48.806584,2.0641478
Saint-cyr-sur-morin (77750),"4 chambres,1 salle de bain",1,48.9183073,3.2346188
Saint-denis (93200),1 chambre1 chambre4 chambres1 chambre,4,48.9334215,2.3624387
Saint-fargeau-ponthierry (77310),"2 chambres3 chambres,Cheminée",3,48.5322484,2.5392327
Saint-germain-en-laye (78100),42 chambres4 chambres3 chambres3 chambres,5,48.9356047,2.0917743
Saint-germain-lès-arpajon (91180),0,1,48.5980865,2.2638328
Saint-germain-lès-corbeil (91250),"1 chambre,Type  cuisine : Cuisine américaine",1,48.6379778,2.5153633
Saint-mandé (94160),"1 chambre,Type  cuisine : Cuisine équipée,1 salle d'eau",1,48.8413721,2.4171025
Saint-martin-la-garenne (78520),"4 chambres,Type  cuisine : Cuisine américaine",1,49.0115323,1.6780601
Saint-maur-des-fossÉs (94100),"1 chambre,Type  cuisine : Cuisine indépendante",1,48.8007171,2.4871004
Saint-maur-des-fossés (94100),"6 chambres,Cheminée2 chambres3 chambres,Type  cuisine : Cuisine américaine1 chambre2 chambres,Type  cuisine : Cuisine indépendante1 chambre",6,48.8007171,2.4871004
Saint-maur-des-fossés (94210),13 chambres,2,48.7969919,2.5122934
Saint-michel-sur-orge (91240),72 chambres,2,48.6326762,2.3117727
Saint-pathus (77178),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.072068,2.8177626
Saint-pierre-lès-nemours (77140),"652 chambres,1 salle d'eau",3,48.2762886,2.6943337
Saint-remy-les-chevreuse (78470),4 chambres,1,48.7164058,2.0875116
Saint-thibault-des-vignes (77400),0,1,48.8804099,2.6912817
Sainte genevieve des bois (91700),4 chambres2 chambres,2,48.6436216,2.3333341
Sainte-geneviève-des-bois (91700),"64 chambres,Type  cuisine : Cuisine américaine3 chambres,Type  cuisine : Cuisine indépendante,Cheminée5 chambres3 chambres,1 salle de bain",5,48.6436216,2.3333341
Saintry sur seine (91250),4 chambres,1,48.6379778,2.5153633
Samoreau (77210),4 chambres,1,48.4142411,2.7478681
Sannois (95110),"4 chambres,Type  cuisine : Cuisine séparée équipée2 chambres3 chambres2 chambres3 chambres",5,48.9731583,2.2514977
Santeny (94440),5 chambres,1,48.7338944,2.567586
Sarcelles (95200),"3 chambres3 chambres,3 salles de bain",2,48.9923924,2.3865296
Sartrouville (78500),"1 chambre,Type  cuisine : Cuisine américaine4 chambres,Type  cuisine : Cuisine équipée",2,48.9374749,2.1736045
Saulx-les-chartreux (91160),3 chambres,1,48.6879499,2.2889439
Savigny sur orge (91600),1 chambre1 chambre,2,48.6851327,2.3489803
Savigny-le-temple (77176),0,1,48.5847232,2.5575142
Savigny-sur-orge (91600),33 chambres,2,48.6851327,2.3489803
Saâcy-sur-marne (77730),2 chambres2 chambres,2,48.9606495,3.2206148
Sceaux (92330),2 chambres,3,48.776028,2.2963041
Serris (77700),"1 chambre3 chambres,Type  cuisine : Cuisine équipée1 chambre3 chambres",4,48.8691114,2.7948518
Servon (77170),2 chambres,1,48.6978561,2.6117962
Sevran (93270),4 chambres3 chambres,2,48.9378581,2.5324026
Sevres (92310),2 chambres2 chambres2 chambres,3,48.822245,2.2117665
Soisy sous montmorency (95230),"3 chambres4 chambres,1 salle de bain,1 salle d'eau3 chambres",3,48.9888233,2.2997659
Soisy-sous-montmorency (95230),72 chambres,2,48.9888233,2.2997659
Sonchamp (78120),2 chambres,1,48.6118676,1.8799163
Souppes-sur-loing (77460),"3 chambres,1 salle de bain",1,48.191003,2.7764115
St prix (95390),"4 chambres,3 salles d'eau",1,49.0189813,2.272188
Stains (93240),2 chambres,1,48.9577516,2.3849886
Sucy en brie (94370),3 chambres,1,48.7688318,2.5177846
Sucy-en-brie (94370),"3 chambres,Cheminée1 chambre,Type  cuisine : Coin Cuisine1 chambre,1 salle de bain",4,48.7688318,2.5177846
Suresnes (92150),"2433 chambres,Type  cuisine : Cuisine américaine4 chambres,2 salles de bain,Cheminée1 chambre,1 salle d'eau",6,48.8711349,2.2217833
Sèvres (92310),2 chambres,1,48.822245,2.2117665
Taverny (95150),"4 chambres,Type  cuisine : Cuisine indépendante3 chambres3 chambres,1 salle de bain,1 salle d'eau",3,49.0273389,2.2136522
Thiais (94320),"2 chambres,Type  cuisine : Cuisine équipée3 chambres",2,48.7605873,2.3859729
Thorigny-sur-marne (77400),2 chambres,1,48.8804099,2.6912817
Toussus-le-noble (78117),"5 chambres,3 salles de bain",1,48.7372612,2.0931385
Trappes (78190),"2 chambres3 chambres,1 salle de bain",2,48.7740875,1.9948787
Tremblay-en-france (93290),1,1,48.9741336,2.5473345
Triel sur seine (78510),"4 chambres,1 salle de bain,1 salle d'eau",1,48.9760148,2.0107979
Trilport (77470),65 chambres3 chambres,3,48.944077,2.9677707
Vaires sur marne (77360),2 chambres,1,48.8702275,2.6381628
Valence-en-brie (77830),2 chambres,1,48.4632146,2.9045935
Valenton (94460),"3 chambres,1 salle de bain3 chambres",2,48.7499393,2.4633493
Valmondois (95760),"3 chambres,1 salle de bain",1,49.0977638,2.1808512
Vanves (92170),2 chambres2 chambres,2,48.8213724,2.2892908
Varreddes (77910),"5 chambres,Cheminée",1,48.9980429,2.9145812
Vaucresson (92420),"1 chambre,Cheminée6 chambres3 chambres",3,48.8364225,2.1506469
Vaujours (93410),4 chambres3 chambres,2,48.9338562,2.5798272
Vaureal (95490),1 salle d'eau,1,49.0293349,2.0247741
Vaux le penil (77000),4,1,48.523948,2.6888745
Velizy villacoublay (78140),0,1,48.7838039,2.1941736
Verneuil-sur-seine (78480),3 chambres,1,48.9873683,1.9648012
Vernou la celle sur seine (77670),3 chambres,1,48.4057677,2.8487967
Verrières-le-buisson (91370),3 chambres,2,48.751126,2.2534015
Versailles (78000),"4 chambres,Type  cuisine : Cuisine séparée équipée1 chambre2 chambres5 chambres2 chambres2 chambres3 chambres2 chambres",9,48.8037121,2.119426
Vert le grand (91810),4 chambres,1,48.5831155,2.3658269
Vert saint denis (77240),5 chambres,1,48.5653247,2.6208805
Vetheuil (95510),3 chambres,1,49.0877702,1.7058537
Viarmes (95270),"4 chambres,1 salle de bain,1 salle d'eau2 chambres,1 salle d'eau3 chambres3 chambres2 chambres2 chambres",6,49.1150695,2.4057225
Vigneux sur seine (91270),1 chambre,1,48.7022884,2.4206215
Ville-saint-jacques (77130),4 chambres,1,48.3670139,3.042987
Villecerf (77250),6,1,48.3357544,2.825801
Villecresnes (94440),4 chambres3 chambres,2,48.7338944,2.567586
Villejuif (94800),"4 chambres1 chambre2 chambres3 chambres,1 salle de bain",4,48.7932513,2.3585751
Villemaréchal (77710),5 chambres,1,48.2372082,2.8983458
Villemoisson-sur-orge (91360),3 chambres1 chambre,2,48.668504,2.3208557
Villemomble (93250),"1 chambre,1 salle d'eau",1,48.8865565,2.5058602
Villeneuve la garenne (92390),4 chambres3 chambres3 chambres2 chambres2 chambres1 chambre1 chambre,7,48.9352973,2.3285001
Villeneuve le roi (94290),"2 chambres,1 salle de bain,2 toilettes séparées2 chambres,2 toilettes séparées",2,48.7321404,2.4149267
Villeneuve saint georges (94190),"3 chambres,1 salle de bain,1 salle d'eau",1,48.7388343,2.4511524
Villeneuve st georges (94190),2 chambres2 chambres,2,48.7388343,2.4511524
Villeneuve-la-garenne (92390),"4 chambres,Type  cuisine : Cuisine américaine,2 salles de bain,1 niveau,Cheminée,Bureau",1,48.9352973,2.3285001
Villeneuve-le-comte (77174),6 chambres,1,48.8114868,2.8248862
Villeneuve-le-roi (94290),3 chambres2 chambres3 chambres,3,48.7321404,2.4149267
Villeneuve-saint-georges (94190),"3 chambres3 chambres3 chambres,1 salle de bain",3,48.7388343,2.4511524
Villennes-sur-seine (78670),7,1,48.9438021,1.9904481
Villenoy (77124),1,1,48.9646252,2.8373964
Villeparisis (77270),"1 chambre,Type  cuisine : Cuisine américaine5 chambres5 chambres",3,48.9409617,2.6156473
Villepinte (93420),4 chambres,1,48.955968,2.5410596
Villepreux (78450),3 chambres,1,48.8359649,2.0003797
Villetaneuse (93430),3 chambres,1,48.9574222,2.3446219
Villette (78930),85 chambres,2,48.9424404,1.7176365
Villevaude (77410),3 chambres,1,48.9467251,2.7158972
Villiers sur marne (94350),3 chambres,1,48.8279327,2.5434305
Villiers-le-bel (95400),"1 chambre,Type  cuisine : Cuisine américaine,-1 salle d'eau",1,48.9994801,2.4024075
Villiers-saint-georges (77560),2 chambres,1,48.6488477,3.3622543
Villiers-sur-marne (94350),"2 chambres,Type  cuisine : Cuisine indépendante",1,48.8279327,2.5434305
Vimpelles (77520),"4 chambres,1 salle de bain,1 salle d'eau,Cheminée",1,48.4821763,3.1405568
Vincennes (94300),1 chambre1 chambre1 chambre,3,48.847207,2.4374223
Viry chatillon (91170),3 chambres3 chambres,2,48.6662841,2.3728658
Viry-chatillon (91170),2 chambres,1,48.6662841,2.3728658
Vitry sur seine (94400),3 chambres1 chambre3 chambres1 chambre4 chambres,5,48.7890233,2.3987739
Vitry-sur-seine (94400),"3 chambres,Type  cuisine : Cuisine séparée équipée3 chambres,1 salle de bain2 chambres2 chambres,1 salle de bain2 chambres,1 salle de bain",5,48.7890233,2.3987739
Voisins le bretonneux (78960),4 chambres,1,48.759648,2.0455904
Voisins-le-bretonneux (78960),6,1,48.759648,2.0455904
Vélizy-villacoublay (78140),2 chambres3 chambres,2,48.7838039,2.1941736
Vémars (95470),5,1,49.082085,2.5537046
Yerres (91330),"82 chambres1 chambre3 chambres,Type  cuisine : Cuisine séparée équipée",4,48.7128424,2.4955884
Égly (91520),2,1,48.5778276,2.2186349
Égreville (77620),"4 chambres3 chambres,1 salle de bain",2,48.1728878,2.8872339
Épône (78680),3 chambres,1,48.9459042,1.8083029
Étiolles (91450),6 chambres4 chambres,2,48.6528451,2.4692383
Étréchy (91580),5,1,48.4923165,2.1818836
Évry (91000),3 chambres3 chambres,2,48.6296099,2.4435959
Évry-grégy-sur-yerre (77166),3 chambres,1,48.6658031,2.6657603
